movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,movie_feature
88 minutes,Crime Drama Mystery Thriller,Jon Avnet,Al Pacino,Alicia Witt,Deborah Kara Unger,Al Pacino Alicia Witt Deborah Kara Unger Jon Avnet Crime Drama Mystery Thriller
north country,Drama,Niki Caro,Jeremy Renner,Charlize Theron,Sissy Spacek,Jeremy Renner Charlize Theron Sissy Spacek Niki Caro Drama
the whole ten yards,Comedy Crime Thriller,Howard Deutch,Bruce Willis,Matthew Perry,Natasha Henstridge,Bruce Willis Matthew Perry Natasha Henstridge Howard Deutch Comedy Crime Thriller
splice,Drama Horror Sci-Fi,Vincenzo Natali,Sarah Polley,David Hewlett,Delphine Chanéac,Sarah Polley David Hewlett Delphine Chanéac Vincenzo Natali Drama Horror Sci-Fi
howard the duck,Action Adventure Comedy Romance Sci-Fi,Willard Huyck,Lea Thompson,Jeffrey Jones,Jordan Prentice,Lea Thompson Jeffrey Jones Jordan Prentice Willard Huyck Action Adventure Comedy Romance Sci-Fi
pride and glory,Crime Drama Thriller,Gavin O'Connor,Jennifer Ehle,Rick Gonzalez,Frank Grillo,Jennifer Ehle Rick Gonzalez Frank Grillo Gavin O'Connor Crime Drama Thriller
the cave,Adventure Horror Thriller,Bruce Hunt,Eddie Cibrian,Cole Hauser,Marcel Iures,Eddie Cibrian Cole Hauser Marcel Iures Bruce Hunt Adventure Horror Thriller
alex & emma,Comedy Romance,Rob Reiner,David Paymer,Lobo Sebastian,Robert Costanzo,David Paymer Lobo Sebastian Robert Costanzo Rob Reiner Comedy Romance
fright night,Comedy Horror,Craig Gillespie,Grace Phipps,Reid Ewing,Sandra Vergara,Grace Phipps Reid Ewing Sandra Vergara Craig Gillespie Comedy Horror
the new world,Biography Drama History Romance,Terrence Malick,Christian Bale,Michael Greyeyes,Wes Studi,Christian Bale Michael Greyeyes Wes Studi Terrence Malick Biography Drama History Romance
wing commander,Action Adventure Sci-Fi,Chris Roberts,Saffron Burrows,David Suchet,Jürgen Prochnow,Saffron Burrows David Suchet Jürgen Prochnow Chris Roberts Action Adventure Sci-Fi
in dreams,Drama Fantasy Thriller,Neil Jordan,Robert Downey Jr.,Aidan Quinn,Paul Guilfoyle,Robert Downey Jr. Aidan Quinn Paul Guilfoyle Neil Jordan Drama Fantasy Thriller
dragonball: evolution,Action Adventure Fantasy Sci-Fi Thriller,James Wong,Ian Whyte,Texas Battle,Randall Duk Kim,Ian Whyte Texas Battle Randall Duk Kim James Wong Action Adventure Fantasy Sci-Fi Thriller
the last stand,Action Crime Thriller,Jee-woon Kim,Zach Gilford,James Burnett,Christiana Leucas,Zach Gilford James Burnett Christiana Leucas Jee-woon Kim Action Crime Thriller
godsend,Drama Horror Sci-Fi Thriller,Nick Hamm,Robert De Niro,Cameron Bright,Munro Chambers,Robert De Niro Cameron Bright Munro Chambers Nick Hamm Drama Horror Sci-Fi Thriller
hoodwinked too! hood vs. evil,Animation Comedy Family,Mike Disa,Amy Poehler,Phil LaMarr,Cheech Marin,Amy Poehler Phil LaMarr Cheech Marin Mike Disa Animation Comedy Family
an unfinished life,Drama,Lasse Hallström,Morgan Freeman,Camryn Manheim,Lynda Boyd,Morgan Freeman Camryn Manheim Lynda Boyd Lasse Hallström Drama
the imaginarium of doctor parnassus,Adventure Fantasy Mystery,Terry Gilliam,Andrew Garfield,Lily Cole,Verne Troyer,Andrew Garfield Lily Cole Verne Troyer Terry Gilliam Adventure Fantasy Mystery
barney's version,Comedy Drama,Richard J. Lewis,Mark Addy,Atom Egoyan,Paul Gross,Mark Addy Atom Egoyan Paul Gross Richard J. Lewis Comedy Drama
trapped,Crime Drama Thriller,unknown,Ólafur Darri Ólafsson,Ingvar Eggert Sigurðsson,Björn Hlynur Haraldsson,Ólafur Darri Ólafsson Ingvar Eggert Sigurðsson Björn Hlynur Haraldsson unknown Crime Drama Thriller
runner runner,Crime Thriller,Brad Furman,Justin Timberlake,John Heard,David Costabile,Justin Timberlake John Heard David Costabile Brad Furman Crime Thriller
antitrust,Action Crime Drama Thriller,Peter Howitt,Tyler Labine,Richard Roundtree,Ned Bellamy,Tyler Labine Richard Roundtree Ned Bellamy Peter Howitt Action Crime Drama Thriller
once upon a time in america,Crime Drama,Sergio Leone,Robert De Niro,Burt Young,Treat Williams,Robert De Niro Burt Young Treat Williams Sergio Leone Crime Drama
dead man down,Action Crime Drama Thriller,Niels Arden Oplev,Dominic Cooper,Isabelle Huppert,James Biberi,Dominic Cooper Isabelle Huppert James Biberi Niels Arden Oplev Action Crime Drama Thriller
the merchant of venice,Drama Romance,Michael Radford,Al Pacino,Mackenzie Crook,Kris Marshall,Al Pacino Mackenzie Crook Kris Marshall Michael Radford Drama Romance
the good thief,Action Crime Drama Romance Thriller,Neil Jordan,Emir Kusturica,Saïd Taghmaoui,Tchéky Karyo,Emir Kusturica Saïd Taghmaoui Tchéky Karyo Neil Jordan Action Crime Drama Romance Thriller
supercross,Action Drama Romance Sport,Steve Boyum,Channing Tatum,Mike Vogel,Steve Howey,Channing Tatum Mike Vogel Steve Howey Steve Boyum Action Drama Romance Sport
miss potter,Biography Drama Romance,Chris Noonan,Emily Watson,Bill Paterson,Lucy Boynton,Emily Watson Bill Paterson Lucy Boynton Chris Noonan Biography Drama Romance
doa: dead or alive,Action Adventure,Corey Yuen,Steve Howey,Holly Valance,Sarah Carter,Steve Howey Holly Valance Sarah Carter Corey Yuen Action Adventure
the assassination of jesse james by the coward robert ford,Biography Crime Drama History Western,Andrew Dominik,Brad Pitt,Jeremy Renner,Sam Shepard,Brad Pitt Jeremy Renner Sam Shepard Andrew Dominik Biography Crime Drama History Western
1911,Action Adventure Drama History War,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,Bingbing Li Joan Chen Jaycee Chan Li Zhang Action Adventure Drama History War
little nicholas,Comedy Family,Laurent Tirard,Louise Bourgoin,Sandrine Kiberlain,Kad Merad,Louise Bourgoin Sandrine Kiberlain Kad Merad Laurent Tirard Comedy Family
wild card,Action Crime Drama Thriller,Simon West,Jason Statham,Michael Angarano,Jason Alexander,Jason Statham Michael Angarano Jason Alexander Simon West Action Crime Drama Thriller
machine gun preacher,Action Biography Crime Drama,Marc Forster,Gerard Butler,Madeline Carroll,Kathy Baker,Gerard Butler Madeline Carroll Kathy Baker Marc Forster Action Biography Crime Drama
animals united,Animation Comedy Family,Reinhard Klooss,Jim Broadbent,Vanessa Redgrave,James Corden,Jim Broadbent Vanessa Redgrave James Corden Reinhard Klooss Animation Comedy Family
the color of freedom,Biography Drama History,Bille August,Terry Pheto,Patrick Lyster,Tyrone Keogh,Terry Pheto Patrick Lyster Tyrone Keogh Bille August Biography Drama History
united passions,Drama History Sport,Frédéric Auburtin,Fisher Stevens,Thomas Kretschmann,Jemima West,Fisher Stevens Thomas Kretschmann Jemima West Frédéric Auburtin Drama History Sport
grace of monaco,Biography Drama Romance,Olivier Dahan,Paz Vega,Frank Langella,Derek Jacobi,Paz Vega Frank Langella Derek Jacobi Olivier Dahan Biography Drama Romance
a warrior's tail,Adventure Animation Fantasy,Maksim Fadeev,Konstantin Khabenskiy,Fedor Bondarchuk,Sergey Garmash,Konstantin Khabenskiy Fedor Bondarchuk Sergey Garmash Maksim Fadeev Adventure Animation Fantasy
ripley's game,Crime Drama Mystery Thriller,Liliana Cavani,Ray Winstone,Dougray Scott,Chiara Caselli,Ray Winstone Dougray Scott Chiara Caselli Liliana Cavani Crime Drama Mystery Thriller
sausage party,Adventure Animation Comedy Fantasy,Greg Tiernan,James Franco,Salma Hayek,Anders Holm,James Franco Salma Hayek Anders Holm Greg Tiernan Adventure Animation Comedy Fantasy
pitch perfect 2,Comedy Music,Elizabeth Banks,Anna Kendrick,Birgitte Hjort Sørensen,Hana Mae Lee,Anna Kendrick Birgitte Hjort Sørensen Hana Mae Lee Elizabeth Banks Comedy Music
walk the line,Biography Drama Music Romance,James Mangold,Sandra Ellis Lafferty,Dallas Roberts,Tyler Hilton,Sandra Ellis Lafferty Dallas Roberts Tyler Hilton James Mangold Biography Drama Music Romance
12 monkeys,Adventure Drama Mystery Sci-Fi Thriller,unknown,Amanda Schull,Kirk Acevedo,Tom Noonan,Amanda Schull Kirk Acevedo Tom Noonan unknown Adventure Drama Mystery Sci-Fi Thriller
keeping the faith,Comedy Drama Romance,Edward Norton,Lisa Edelstein,Milos Forman,Anne Bancroft,Lisa Edelstein Milos Forman Anne Bancroft Edward Norton Comedy Drama Romance
the borrowers,Adventure Comedy Family Fantasy,Peter Hewitt,Jim Broadbent,Bradley Pierce,Mark Williams,Jim Broadbent Bradley Pierce Mark Williams Peter Hewitt Adventure Comedy Family Fantasy
frost/nixon,Drama,Ron Howard,Toby Jones,Clint Howard,Oliver Platt,Toby Jones Clint Howard Oliver Platt Ron Howard Drama
confessions of a dangerous mind,Biography Comedy Crime Drama Romance Thriller,George Clooney,Dick Clark,David Julian Hirsh,Jennifer Hall,Dick Clark David Julian Hirsh Jennifer Hall George Clooney Biography Comedy Crime Drama Romance Thriller
serving sara,Comedy Romance,Reginald Hudlin,Matthew Perry,Jerry Stiller,Vincent Pastore,Matthew Perry Jerry Stiller Vincent Pastore Reginald Hudlin Comedy Romance
the boss,Comedy,Ben Falcone,Peter Dinklage,Tyler Labine,Ben Falcone,Peter Dinklage Tyler Labine Ben Falcone Ben Falcone Comedy
cry freedom,Biography Drama History,Richard Attenborough,Denzel Washington,Kevin McNally,Penelope Wilton,Denzel Washington Kevin McNally Penelope Wilton Richard Attenborough Biography Drama History
mumford,Comedy Drama,Lawrence Kasdan,Zooey Deschanel,Alfre Woodard,Mary McDonnell,Zooey Deschanel Alfre Woodard Mary McDonnell Lawrence Kasdan Comedy Drama
seed of chucky,Comedy Fantasy Horror Thriller,Don Mancini,Jason Flemyng,Billy Boyd,Hannah Spearritt,Jason Flemyng Billy Boyd Hannah Spearritt Don Mancini Comedy Fantasy Horror Thriller
the jacket,Drama Mystery Sci-Fi Thriller,John Maybury,Jennifer Jason Leigh,Jason Lewis,Angel Coulby,Jennifer Jason Leigh Jason Lewis Angel Coulby John Maybury Drama Mystery Sci-Fi Thriller
straight outta compton,Biography Crime Drama History Music,F. Gary Gray,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,Aldis Hodge Neil Brown Jr. R. Marcos Taylor F. Gary Gray Biography Crime Drama History Music
indiana jones and the temple of doom,Action Adventure,Steven Spielberg,Harrison Ford,Amrish Puri,Kate Capshaw,Harrison Ford Amrish Puri Kate Capshaw Steven Spielberg Action Adventure
the rugrats movie,Adventure Animation Comedy Drama Family Musical,Igor Kovalyov,Elizabeth Daily,Cree Summer,Christine Cavanaugh,Elizabeth Daily Cree Summer Christine Cavanaugh Igor Kovalyov Adventure Animation Comedy Drama Family Musical
along came a spider,Crime Drama Thriller,Lee Tamahori,Morgan Freeman,Billy Burke,Monica Potter,Morgan Freeman Billy Burke Monica Potter Lee Tamahori Crime Drama Thriller
florence foster jenkins,Biography Comedy Drama Music Romance,Stephen Frears,Meryl Streep,Nina Arianda,John Sessions,Meryl Streep Nina Arianda John Sessions Stephen Frears Biography Comedy Drama Music Romance
once upon a time in mexico,Action Crime Thriller,Robert Rodriguez,Johnny Depp,Salma Hayek,Enrique Iglesias,Johnny Depp Salma Hayek Enrique Iglesias Robert Rodriguez Action Crime Thriller
die hard,Action Thriller,John McTiernan,Alan Rickman,Bruce Willis,Reginald VelJohnson,Alan Rickman Bruce Willis Reginald VelJohnson John McTiernan Action Thriller
role models,Comedy,David Wain,Joe Lo Truglio,Ken Marino,Bobb'e J. Thompson,Joe Lo Truglio Ken Marino Bobb'e J. Thompson David Wain Comedy
the big short,Biography Comedy Drama History,Adam McKay,Ryan Gosling,Christian Bale,Charlie Talbert,Ryan Gosling Christian Bale Charlie Talbert Adam McKay Biography Comedy Drama History
taking woodstock,Comedy Drama Music,Ang Lee,Imelda Staunton,Kevin Chamberlin,Demetri Martin,Imelda Staunton Kevin Chamberlin Demetri Martin Ang Lee Comedy Drama Music
miracle,Biography Drama History Sport,Gavin O'Connor,Eddie Cahill,Noah Emmerich,Kenneth Mitchell,Eddie Cahill Noah Emmerich Kenneth Mitchell Gavin O'Connor Biography Drama History Sport
the wedding planner,Comedy Romance,Adam Shankman,Matthew McConaughey,Judy Greer,Alex Rocco,Matthew McConaughey Judy Greer Alex Rocco Adam Shankman Comedy Romance
harlock: space pirate,Adventure Animation Sci-Fi,Shinji Aramaki,Shun Oguri,Yû Aoi,Haruma Miura,Shun Oguri Yû Aoi Haruma Miura Shinji Aramaki Adventure Animation Sci-Fi
the royal tenenbaums,Comedy Drama,Wes Anderson,Bill Murray,Anjelica Huston,Seymour Cassel,Bill Murray Anjelica Huston Seymour Cassel Wes Anderson Comedy Drama
identity,Mystery Thriller,James Mangold,Clea DuVall,Rebecca De Mornay,Jake Busey,Clea DuVall Rebecca De Mornay Jake Busey James Mangold Mystery Thriller
last vegas,Comedy Romance,Jon Turteltaub,Robert De Niro,Morgan Freeman,Romany Malco,Robert De Niro Morgan Freeman Romany Malco Jon Turteltaub Comedy Romance
for your eyes only,Action Adventure Thriller,John Glen,Julian Glover,Topol,Desmond Llewelyn,Julian Glover Topol Desmond Llewelyn John Glen Action Adventure Thriller
serendipity,Comedy Romance,Peter Chelsom,Lilli Lavine,David Sparrow,Ann Talman,Lilli Lavine David Sparrow Ann Talman Peter Chelsom Comedy Romance
timecop,Action Crime Sci-Fi Thriller,Peter Hyams,Mia Sara,Bruce McGill,Gloria Reuben,Mia Sara Bruce McGill Gloria Reuben Peter Hyams Action Crime Sci-Fi Thriller
zoolander,Comedy,Ben Stiller,Milla Jovovich,Alexander Skarsgård,Will Ferrell,Milla Jovovich Alexander Skarsgård Will Ferrell Ben Stiller Comedy
safe haven,Drama Romance Thriller,Lasse Hallström,David Lyons,Noah Lomax,Mimi Kirkland,David Lyons Noah Lomax Mimi Kirkland Lasse Hallström Drama Romance Thriller
hocus pocus,Comedy Family Fantasy,Kenny Ortega,Vinessa Shaw,Omri Katz,Larry Bagby,Vinessa Shaw Omri Katz Larry Bagby Kenny Ortega Comedy Family Fantasy
no reservations,Comedy Drama Romance,Scott Hicks,Zoë Kravitz,Lily Rabe,Bob Balaban,Zoë Kravitz Lily Rabe Bob Balaban Scott Hicks Comedy Drama Romance
kick-ass,Action Comedy,Matthew Vaughn,Elizabeth McGovern,Deborah Twiss,Michael Rispoli,Elizabeth McGovern Deborah Twiss Michael Rispoli Matthew Vaughn Action Comedy
30 minutes or less,Action Comedy Crime,Ruben Fleischer,Bianca Kajlich,Dilshad Vadsaria,Fred Ward,Bianca Kajlich Dilshad Vadsaria Fred Ward Ruben Fleischer Action Comedy Crime
dracula 2000,Action Fantasy Horror Thriller,Patrick Lussier,Gerard Butler,Danny Masterson,Jeri Ryan,Gerard Butler Danny Masterson Jeri Ryan Patrick Lussier Action Fantasy Horror Thriller
"alexander and the terrible, horrible, no good, very bad day",Comedy Family,Miguel Arteta,Bella Thorne,Steve Carell,Jennifer Garner,Bella Thorne Steve Carell Jennifer Garner Miguel Arteta Comedy Family
pride & prejudice,Drama Romance,Joe Wright,Talulah Riley,Brenda Blethyn,Simon Woods,Talulah Riley Brenda Blethyn Simon Woods Joe Wright Drama Romance
blade runner,Sci-Fi Thriller,Ridley Scott,Harrison Ford,Sean Young,M. Emmet Walsh,Harrison Ford Sean Young M. Emmet Walsh Ridley Scott Sci-Fi Thriller
rob roy,Adventure Biography,Michael Caton-Jones,Liam Neeson,Jason Flemyng,Eric Stoltz,Liam Neeson Jason Flemyng Eric Stoltz Michael Caton-Jones Adventure Biography
3 days to kill,Action Drama Thriller,McG,Connie Nielsen,Richard Sammel,Tómas Lemarquis,Connie Nielsen Richard Sammel Tómas Lemarquis McG Action Drama Thriller
we own the night,Crime Drama Thriller,James Gray,Robert Duvall,Oleg Taktarov,Antoni Corone,Robert Duvall Oleg Taktarov Antoni Corone James Gray Crime Drama Thriller
lost souls,Drama Horror Thriller,Janusz Kaminski,Philip Baker Hall,Bob Clendenin,Ben Chaplin,Philip Baker Hall Bob Clendenin Ben Chaplin Janusz Kaminski Drama Horror Thriller
winged migration,Documentary,Jacques Perrin,Jacques Perrin,Philippe Labro,unknown,Jacques Perrin Philippe Labro unknown Jacques Perrin Documentary
just my luck,Comedy Fantasy Romance,Donald Petrie,Samaire Armstrong,Carlos Ponce,Faizon Love,Samaire Armstrong Carlos Ponce Faizon Love Donald Petrie Comedy Fantasy Romance
"mystery, alaska",Comedy Drama Sport,Jay Roach,Scott Grimes,Mary McCormack,Ron Eldard,Scott Grimes Mary McCormack Ron Eldard Jay Roach Comedy Drama Sport
the spy next door,Action Comedy Family,Brian Levant,Madeline Carroll,Amber Valletta,George Lopez,Madeline Carroll Amber Valletta George Lopez Brian Levant Action Comedy Family
a simple wish,Comedy Family Fantasy,Michael Ritchie,Mara Wilson,Francis Capra,Kathleen Turner,Mara Wilson Francis Capra Kathleen Turner Michael Ritchie Comedy Family Fantasy
ghosts of mars,Action Horror Sci-Fi,John Carpenter,Jason Statham,Clea DuVall,Natasha Henstridge,Jason Statham Clea DuVall Natasha Henstridge John Carpenter Action Horror Sci-Fi
our brand is crisis,Comedy Drama,David Gordon Green,Dominic Flores,Zoe Kazan,Scoot McNairy,Dominic Flores Zoe Kazan Scoot McNairy David Gordon Green Comedy Drama
pride and prejudice and zombies,Action Horror Romance,Burr Steers,Matt Smith,Bella Heathcote,Sam Riley,Matt Smith Bella Heathcote Sam Riley Burr Steers Action Horror Romance
kundun,Biography Drama History War,Martin Scorsese,Tenzin Thuthob Tsarong,Tulku Jamyang Kunga Tenzin,Tencho Gyalpo,Tenzin Thuthob Tsarong Tulku Jamyang Kunga Tenzin Tencho Gyalpo Martin Scorsese Biography Drama History War
how to lose friends & alienate people,Comedy Drama Romance,Robert B. Weide,James Corden,Katherine Parkinson,Fenella Woolgar,James Corden Katherine Parkinson Fenella Woolgar Robert B. Weide Comedy Drama Romance
kick-ass 2,Action Comedy Crime,Jeff Wadlow,Chloë Grace Moretz,Donald Faison,Augustus Prew,Chloë Grace Moretz Donald Faison Augustus Prew Jeff Wadlow Action Comedy Crime
captain alatriste: the spanish musketeer,Adventure Drama History Romance Thriller War,Agustín Díaz Yanes,Viggo Mortensen,Elena Anaya,Eduardo Noriega,Viggo Mortensen Elena Anaya Eduardo Noriega Agustín Díaz Yanes Adventure Drama History Romance Thriller War
brick mansions,Action Crime Drama Thriller,Camille Delamarre,Paul Walker,Robert Maillet,RZA,Paul Walker Robert Maillet RZA Camille Delamarre Action Crime Drama Thriller
octopussy,Action Adventure Thriller,John Glen,Louis Jourdan,Kabir Bedi,Steven Berkoff,Louis Jourdan Kabir Bedi Steven Berkoff John Glen Action Adventure Thriller
knocked up,Comedy Romance,Judd Apatow,Harold Ramis,Martin Starr,Charlyne Yi,Harold Ramis Martin Starr Charlyne Yi Judd Apatow Comedy Romance
my sister's keeper,Drama,Nick Cassavetes,Jason Patric,Sofia Vassilieva,Jeffrey Markle,Jason Patric Sofia Vassilieva Jeffrey Markle Nick Cassavetes Drama
"welcome home, roscoe jenkins",Comedy Drama Romance,Malcolm D. Lee,Mo'Nique,Mike Epps,Cedric the Entertainer,Mo'Nique Mike Epps Cedric the Entertainer Malcolm D. Lee Comedy Drama Romance
a passage to india,Adventure Drama History,David Lean,Richard Wilson,Judy Davis,Art Malik,Richard Wilson Judy Davis Art Malik David Lean Adventure Drama History
notes on a scandal,Crime Drama Romance Thriller,Richard Eyre,Phil Davis,Andrew Simpson,Shaun Parkes,Phil Davis Andrew Simpson Shaun Parkes Richard Eyre Crime Drama Romance Thriller
rendition,Drama Thriller,Gavin Hood,J.K. Simmons,Jake Gyllenhaal,Meryl Streep,J.K. Simmons Jake Gyllenhaal Meryl Streep Gavin Hood Drama Thriller
limitless,Crime Drama Sci-Fi Thriller,unknown,Colin Salmon,Mary Elizabeth Mastrantonio,Jake McDorman,Colin Salmon Mary Elizabeth Mastrantonio Jake McDorman unknown Crime Drama Sci-Fi Thriller
star trek vi: the undiscovered country,Action Adventure Sci-Fi Thriller,Nicholas Meyer,Leonard Nimoy,Kurtwood Smith,Nichelle Nichols,Leonard Nimoy Kurtwood Smith Nichelle Nichols Nicholas Meyer Action Adventure Sci-Fi Thriller
divine secrets of the ya-ya sisterhood,Drama,Callie Khouri,Ellen Burstyn,Fionnula Flanagan,Matthew Settle,Ellen Burstyn Fionnula Flanagan Matthew Settle Callie Khouri Drama
the jungle book,Adventure Drama Family Fantasy,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family Fantasy
kiss the girls,Crime Drama Mystery Thriller,Gary Fleder,Morgan Freeman,Tony Goldwyn,Tatyana Ali,Morgan Freeman Tony Goldwyn Tatyana Ali Gary Fleder Crime Drama Mystery Thriller
the blues brothers,Action Comedy Crime Music,John Landis,John Belushi,Aretha Franklin,Ray Charles,John Belushi Aretha Franklin Ray Charles John Landis Action Comedy Crime Music
the sisterhood of the traveling pants 2,Comedy Drama Family Romance,Sanaa Hamri,America Ferrera,Blythe Danner,Michael Rady,America Ferrera Blythe Danner Michael Rady Sanaa Hamri Comedy Drama Family Romance
joyful noise,Comedy Music,Todd Graff,Dolly Parton,Jeremy Jordan,Jesse L. Martin,Dolly Parton Jeremy Jordan Jesse L. Martin Todd Graff Comedy Music
about a boy,Comedy Drama Romance,Chris Weitz,Sharon Small,Christopher Webster,Peter McNicholl,Sharon Small Christopher Webster Peter McNicholl Chris Weitz Comedy Drama Romance
lake placid,Action Comedy Horror,Steve Miner,Oliver Platt,Bridget Fonda,Ty Olsson,Oliver Platt Bridget Fonda Ty Olsson Steve Miner Action Comedy Horror
the right stuff,Adventure Drama History,Philip Kaufman,Dennis Quaid,Scott Glenn,Sam Shepard,Dennis Quaid Scott Glenn Sam Shepard Philip Kaufman Adventure Drama History
anonymous,Drama History Thriller,Roland Emmerich,Vanessa Redgrave,Joely Richardson,Rafe Spall,Vanessa Redgrave Joely Richardson Rafe Spall Roland Emmerich Drama History Thriller
the neverending story,Adventure Drama Family Fantasy,Wolfgang Petersen,Gerald McRaney,Barret Oliver,Alan Oppenheimer,Gerald McRaney Barret Oliver Alan Oppenheimer Wolfgang Petersen Adventure Drama Family Fantasy
dark city,Action Drama Fantasy Mystery Sci-Fi Thriller,Alex Proyas,Rufus Sewell,William Hurt,Bruce Spence,Rufus Sewell William Hurt Bruce Spence Alex Proyas Action Drama Fantasy Mystery Sci-Fi Thriller
the duchess,Biography Drama History Romance,Saul Dibb,Dominic Cooper,Hayley Atwell,Charlotte Rampling,Dominic Cooper Hayley Atwell Charlotte Rampling Saul Dibb Biography Drama History Romance
the honeymooners,Comedy Family,unknown,Jackie Gleason,Art Carney,Joyce Randolph,Jackie Gleason Art Carney Joyce Randolph unknown Comedy Family
return to oz,Adventure Family Fantasy Horror Mystery,Walter Murch,Piper Laurie,Jean Marsh,Tim Rose,Piper Laurie Jean Marsh Tim Rose Walter Murch Adventure Family Fantasy Horror Mystery
the newton boys,Action Crime Drama History Western,Richard Linklater,Matthew McConaughey,Lew Temple,Dwight Yoakam,Matthew McConaughey Lew Temple Dwight Yoakam Richard Linklater Action Crime Drama History Western
case 39,Horror Mystery Thriller,Christian Alvart,Bradley Cooper,Callum Rennie,Vanesa Tomasino,Bradley Cooper Callum Rennie Vanesa Tomasino Christian Alvart Horror Mystery Thriller
suspect zero,Crime Drama Mystery Thriller,E. Elias Merhige,Harry Lennix,Kevin Chamberlin,William Mapother,Harry Lennix Kevin Chamberlin William Mapother E. Elias Merhige Crime Drama Mystery Thriller
martian child,Comedy Drama Family,Menno Meyjes,Oliver Platt,Richard Schiff,Sophie Okonedo,Oliver Platt Richard Schiff Sophie Okonedo Menno Meyjes Comedy Drama Family
spy kids: all the time in the world in 4d,Action Adventure Comedy Family Sci-Fi,Robert Rodriguez,Alexa PenaVega,Joel McHale,Daryl Sabara,Alexa PenaVega Joel McHale Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi
money monster,Crime Drama Thriller,Jodie Foster,Julia Roberts,Jack O'Connell,Chris Bauer,Julia Roberts Jack O'Connell Chris Bauer Jodie Foster Crime Drama Thriller
formula 51,Action Comedy Crime Thriller,Ronny Yu,Meat Loaf,Junix Inocian,Paul Barber,Meat Loaf Junix Inocian Paul Barber Ronny Yu Action Comedy Crime Thriller
flawless,Comedy Crime Drama,Joel Schumacher,Robert De Niro,Philip Seymour Hoffman,Chris Bauer,Robert De Niro Philip Seymour Hoffman Chris Bauer Joel Schumacher Comedy Crime Drama
mindhunters,Crime Horror Mystery Thriller,Renny Harlin,LL Cool J,Clifton Collins Jr.,Eion Bailey,LL Cool J Clifton Collins Jr. Eion Bailey Renny Harlin Crime Horror Mystery Thriller
what just happened,Comedy Drama,Barry Levinson,Robert De Niro,Robin Wright,Kristen Stewart,Robert De Niro Robin Wright Kristen Stewart Barry Levinson Comedy Drama
the statement,Drama Thriller,Norman Jewison,Charlotte Rampling,Colin Salmon,John Neville,Charlotte Rampling Colin Salmon John Neville Norman Jewison Drama Thriller
the magic flute,Drama Musical Romance,Kenneth Branagh,Kim-Marie Woodhouse,Amy Carson,Joseph Kaiser,Kim-Marie Woodhouse Amy Carson Joseph Kaiser Kenneth Branagh Drama Musical Romance
paul blart: mall cop,Action Comedy Crime,Steve Carr,Erick Avari,Adhir Kalyan,Allen Covert,Erick Avari Adhir Kalyan Allen Covert Steve Carr Action Comedy Crime
freaky friday,Comedy Family Fantasy Music Romance,Mark Waters,Jamie Lee Curtis,Julie Gonzalo,Willie Garson,Jamie Lee Curtis Julie Gonzalo Willie Garson Mark Waters Comedy Family Fantasy Music Romance
the 40-year-old virgin,Comedy Romance,Judd Apatow,Steve Carell,Romany Malco,Gerry Bednob,Steve Carell Romany Malco Gerry Bednob Judd Apatow Comedy Romance
shakespeare in love,Comedy Drama Romance,John Madden,Tom Wilkinson,Martin Clunes,Simon Callow,Tom Wilkinson Martin Clunes Simon Callow John Madden Comedy Drama Romance
a walk among the tombstones,Crime Drama Mystery Thriller,Scott Frank,Liam Neeson,Boyd Holbrook,David Harbour,Liam Neeson Boyd Holbrook David Harbour Scott Frank Crime Drama Mystery Thriller
kindergarten cop,Action Comedy Crime,Ivan Reitman,Richard Tyson,Cathy Moriarty,Penelope Ann Miller,Richard Tyson Cathy Moriarty Penelope Ann Miller Ivan Reitman Action Comedy Crime
pineapple express,Action Comedy Crime,David Gordon Green,James Franco,Gary Cole,Rosie Perez,James Franco Gary Cole Rosie Perez David Gordon Green Action Comedy Crime
ever after: a cinderella story,Comedy Drama Romance,Andy Tennant,Anjelica Huston,Dougray Scott,Jeanne Moreau,Anjelica Huston Dougray Scott Jeanne Moreau Andy Tennant Comedy Drama Romance
open range,Drama Romance Western,Kevin Costner,Robert Duvall,Michael Jeter,Julian Richings,Robert Duvall Michael Jeter Julian Richings Kevin Costner Drama Romance Western
flatliners,Drama Horror Sci-Fi Thriller,Joel Schumacher,Julia Roberts,Oliver Platt,Hope Davis,Julia Roberts Oliver Platt Hope Davis Joel Schumacher Drama Horror Sci-Fi Thriller
it's always sunny in philadelphia,Comedy,unknown,Rob McElhenney,Kaitlin Olson,Glenn Howerton,Rob McElhenney Kaitlin Olson Glenn Howerton unknown Comedy
a bridge too far,Drama History War,Richard Attenborough,Ryan O'Neal,Dirk Bogarde,Wolfgang Preiss,Ryan O'Neal Dirk Bogarde Wolfgang Preiss Richard Attenborough Drama History War
red eye,Mystery Thriller,Wes Craven,Robert Pine,Carl Gilliard,Suzie Plakson,Robert Pine Carl Gilliard Suzie Plakson Wes Craven Mystery Thriller
